zip,primary_city,state,area_codes
47615,Grandview,IN,812
47882,Sullivan,IN,812
83217,Bancroft,ID,208
32411,Panama City,FL,850
52757,Low Moor,IA,563
38045,Laconia,TN,901
35212,Birmingham,AL,205
73071,Norman,OK,405
80103,Byers,CO,303
93646,Orange Cove,CA,559
93727,Fresno,CA,559
01830,Haverhill,MA,978
40575,Lexington,KY,859
48826,East Lansing,MI,517
04495,Winn,ME,207
08330,Mays Landing,NJ,609
49435,Marne,MI,616
70752,Lakeland,LA,225
61085,Stockton,IL,815
07035,Lincoln Park,NJ,973
57345,Highmore,SD,605
44641,Louisville,OH,330
58559,Mercer,ND,701
36866,Notasulga,AL,334
27880,Sims,NC,252
28589,Williston,NC,252
20177,Leesburg,VA,703
05501,Andover,MA,351
61545,Lowpoint,IL,309
98407,Tacoma,WA,253
36322,Daleville,AL,334
99209,Spokane,WA,509
44275,Spencer,OH,330
23417,Onancock,VA,757
72058,Greenbrier,AR,501
43468,Williston,OH,419
98501,Olympia,WA,360
70891,Baton Rouge,LA,225
76831,Castell,TX,325
32053,Jennings,FL,386
17972,Schuylkill Haven,PA,570
08858,Oldwick,NJ,908
96133,Topaz,CA,530
80646,Lucerne,CO,970
70006,Metairie,LA,504
31088,Warner Robins,GA,478
83623,Glenns Ferry,ID,208
06857,Norwalk,CT,203
64623,Bosworth,MO,660
60930,Danforth,IL,815
93510,Acton,CA,661
71730,El Dorado,AR,870
77344,Huntsville,TX,936
71024,Dubberly,LA,318
61485,Victoria,IL,309
20435,Washington,DC,202
08402,Margate City,NJ,609
72561,Mount Pleasant,AR,870
89419,Lovelock,NV,775
42051,Hickory,KY,270
30417,Claxton,GA,912
86403,Lake Havasu City,AZ,928
68781,Tilden,NE,402
58704,Minot Afb,ND,701
70721,Carville,LA,225
70655,Oberlin,LA,337
61840,Dewey,IL,217
78733,Austin,TX,512
32437,Ebro,FL,850
49112,Edwardsburg,MI,269
25644,Sarah Ann,WV,304
28323,Bunnlevel,NC,910
07188,Newark,NJ,862
49323,Dorr,MI,616
70805,Baton Rouge,LA,225
73136,Oklahoma City,OK,405
82243,Veteran,WY,307
57630,Glencross,SD,605
75260,Dallas,TX,214
80754,Stoneham,CO,970
94204,Sacramento,CA,916
01139,Springfield,MA,413
58009,Blanchard,ND,701
71279,Start,LA,318
93581,Tehachapi,CA,661
35896,Huntsville,AL,256
36630,Mobile,AL,251
62355,Nebo,IL,217
38181,Memphis,TN,901
35087,Joppa,AL,256
45427,Dayton,OH,937
91310,Castaic,CA,661
17846,Millville,PA,570
17601,Lancaster,PA,717
29645,Gray Court,SC,864
99508,Anchorage,AK,907
79236,Guthrie,TX,806
98570,Onalaska,WA,360
43552,Perrysburg,OH,419
44123,Euclid,OH,216
27301,Mc Leansville,NC,336
56481,Verndale,MN,218
36854,Valley,AL,334
27042,Pine Hall,NC,336
16835,Fleming,PA,814
92106,San Diego,CA,619
38356,Medon,TN,731
88240,Hobbs,NM,505
96720,Hilo,HI,808
02802,Albion,RI,401
37920,Knoxville,TN,865
88421,Garita,NM,505
99778,Teller,AK,907
49717,Burt Lake,MI,231
44626,East Sparta,OH,330
34106,Naples,FL,239
98937,Naches,WA,509
45862,Mendon,OH,419
08098,Woodstown,NJ,856
89833,Ruby Valley,NV,775
30914,Augusta,GA,706
35469,Knoxville,AL,205
12809,Argyle,NY,518
33159,Miami,FL,786
97823,Condon,OR,541
20792,Upper Marlboro,MD,240
05907,Norton,VT,802
52601,Burlington,IA,319
28776,Skyland,NC,828
28454,Maple Hill,NC,910
57709,Rapid City,SD,605
89139,Las Vegas,NV,702
61051,Milledgeville,IL,815
72178,West Point,AR,501
58549,Kintyre,ND,701
17222,Fayetteville,PA,717
91313,Chatsworth,CA,213
55307,Arlington,MN,507
75367,Dallas,TX,214
91797,Pomona,CA,909
62842,Geff,IL,618
32663,Lowell,FL,352
98637,Nahcotta,WA,360
68505,Lincoln,NE,402
30671,Maxeys,GA,706
34753,Mascotte,FL,352
32834,Orlando,FL,407
21561,Swanton,MD,301
13053,Dryden,NY,607
69360,Rushville,NE,308
39470,Poplarville,MS,601
18225,Harleigh,PA,570
37136,Norene,TN,615
89131,Las Vegas,NV,702
52535,Birmingham,IA,319
71654,Mc Gehee,AR,870
46218,Indianapolis,IN,317
12495,Willow,NY,845
95932,Colusa,CA,530
77235,Houston,TX,713
80910,Colorado Springs,CO,719
13043,Clockville,NY,315
23221,Richmond,VA,804
22481,Jersey,VA,540
62536,Glenarm,IL,217
29901,Beaufort,SC,843
06785,South Kent,CT,860
26070,Wellsburg,WV,304
33914,Cape Coral,FL,239
87022,Isleta,NM,505
23160,State Farm,VA,804
77960,Fannin,TX,361
15746,Hillsdale,PA,814
29435,Cottageville,SC,843
77707,Beaumont,TX,409
08048,Lumberton,NJ,609
10094,New York,NY,212
15822,Brandy Camp,PA,814
87122,Albuquerque,NM,505
18765,Wilkes Barre,PA,570
72441,Mc Dougal,AR,870
58237,Grafton,ND,701
20191,Reston,VA,703
41011,Covington,KY,859
64664,Mooresville,MO,660
61264,Milan,IL,309
17026,Fredericksburg,PA,717
62222,Belleville,IL,618
49781,Saint Ignace,MI,906
29162,Turbeville,SC,843
62541,Lake Fork,IL,217
28420,Ash,NC,910
73705,Enid,OK,580
53032,Horicon,WI,920
83272,Saint Charles,ID,208
87320,Mexican Springs,NM,505
60144,Kaneville,IL,630
02561,Sagamore,MA,508
49840,Gulliver,MI,906
46987,Sweetser,IN,765
93458,Santa Maria,CA,805
53824,Sinsinawa,WI,608
72727,Elkins,AR,479
48043,Mount Clemens,MI,586
18850,Ulster,PA,570
59831,Dixon,MT,406
72004,Altheimer,AR,870
14505,Marion,NY,315
65620,Bruner,MO,417
32312,Tallahassee,FL,850
